2020-04-01 21:04:13 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:13 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:14 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:14 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:16 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:16 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:17 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:17 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:19 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:19 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:20 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:20 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:22 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:22 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:23 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:23 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:25 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:25 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:26 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:26 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:28 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:28 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:29 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:29 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:31 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:31 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:32 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:32 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:34 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:34 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:35 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:35 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:37 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:37 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:38 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:38 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:40 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:40 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:41 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:41 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:43 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:43 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:44 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:44 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:46 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:46 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:47 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:47 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:49 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:49 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:50 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:50 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:52 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:52 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:53 Recipe: bitcoinker, is_alive: True, wait_status:True
